detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
2569,387,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/3012:01:00,,,,0,,,caipu/101001.jpg,1095
2577,387,609957,,,蒙古烤羊腿,0,1,48,,2016/8/3012:05:00,,,,0,,,caipu/202003.jpg,1095
2572,387,609961,,,姜葱炒花蟹,0,1,45,,2016/8/3012:05:00,,,,0,,,caipu/102001.jpg,1095
2580,387,609960,,,白胡椒胡萝卜羊肉汤,0,1,35,,2016/8/3012:06:00,,,,0,,,caipu/202006.jpg,1095
2584,387,610015,,,葱油凉拌藕片,0,1,30,,2016/8/3012:06:00,,,,0,,,caipu/302004.jpg,1095
2587,387,610010,,,白饭/小碗,0,6,1,,2016/8/3012:07:00,,,,0,,,caipu/601004.jpg,1095
2592,387,610033,,,张裕葡萄酒张裕赤霞珠干红,0,1,32,,2016/8/3012:09:00,,,,0,,,caipu/402002.jpg,1095
2595,387,610053,,,蛋挞,0,1,8,,2016/8/3012:09:00,,,,0,,,caipu/501002.jpg,1095
2599,387,609970,,,麻辣小龙虾,0,1,99,,2016/8/3012:10:00,,,,0,,,caipu/101006.jpg,1095
886,168,609966,,,芝士烩波士顿龙虾,0,2,175,,2016/8/3012:10:00,,,,0,,,caipu/101001.jpg,990
2605,387,609992,,,番茄炖牛腩,0,1,35,,2016/8/3012:10:00,,,,0,,,caipu/201002.jpg,1095
887,168,609953,,,凉拌菠菜,0,1,27,,2016/8/3012:11:00,,,,0,,,caipu/303004.jpg,990
2610,387,609946,,,谷稻小庄,0,1,38,,2016/8/3012:12:00,,,,0,,,caipu/404002.jpg,1095
888,168,609972,,,核桃葡萄干土司,0,1,19,,2016/8/3012:12:00,,,,0,,,caipu/502002.jpg,990
916,168,609962,,,倒立蒸梭子蟹,0,4,169,,2016/8/3012:13:00,,,,0,,,caipu/102002.jpg,990
927,168,610050,,,番茄甘蓝,0,1,33,,2016/8/3012:19:00,,,,0,,,caipu/301004.jpg,990
3279,446,609968,,,油焖麻辣虾,0,1,65,,2016/8/3018:08:00,,,,0,,,caipu/101003.jpg,1166
